TERMINO,DEFINICION,REFERENCIA,ARTICULO
Especie,Nivel de la biodiversidad que hace referencia al conjunto de poblaciones cuyos individuos se entrecruzan actual o potencialmente dando origen a descendencia fértil y que están reproductivamente aislados de otros grupos,Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Especie en peligro de extinción,"Son especies o subespecies de fauna y flora, o sus poblaciones que están en peligro de extinción, en todas o parte de sus áreas de distribución y cuya sobrevivencia es improbable si los factores que las ponen en riesgo continúan presentándose",Ley 356 DE 1997,ARTICULO 1
Espécimen,"Todo organismo de la diversidad biológica vivo o muerto o cualquiera de sus productos, partes o derivados.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.1.3.
Espécimen de especie silvestre de la diversidad biológica,"Todo organismo de la diversidad biológica vivo o muerto o cualquiera de sus productos, partes o derivados en adelante referido únicamente como espécimen.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.2.2.
Estructura,Atributo de la biodiversidad que hace referencia a la disposición u ordenamiento físico de los componentes de cada nivel de organización,Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Estructura ecológica principal,"Conjunto de elementos bióticos y abióticos que dan sustento a los procesos ecológicos esenciales del territorio, cuya finalidad principal es la preservación, conservación, restauración, uso y manejo sostenible de los recursos naturales renovables, los cuales brindan la capacidad de soporte para el desarrollo socioeconómico de las poblaciones.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Estudio de Impacto Ambiental (EIA),"Conjunto de información que permite la toma de decisiones por parte de la autoridad ambiental ante la solicitud de un peticionario de licencia ambiental. Implica medidas de prevención, corrección, compensación y mitigación de impactos y efectos negativos de un proyecto, obra o actividad.",NA,NA
Estudio técnico,"Documento elaborado por el interesado en el manejo sostenible de la flora silvestre y de los productos forestales no maderables con fines comerciales, por medio del cual se caracterizan, proponen y analizan aspectos biológicos, ecológicos, productivos y socioculturales que demuestran que existe una adecuada estabilidad poblacional, que permita un manejo sostenible de la(s) especie(s) objeto de interés.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Estudios Ambientales,"Son aquellos estudios que son exigidos por la normatividad ambiental, para la obtención o modificación de una licencia ambiental o su equivalente, permiso, concesión o autorización y cuya elaboración implica realizar cualquier actividad de recolecta de especímenes silvestres de la diversidad biológica.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.2.2.
Etapa de producción,Es la entrada en operación del proyecto (producción de bienes o servicios),Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Etiqueta,"Cualquier material escrito, impreso o gráfico que vaya sobre el envase que contiene un plaguicida o esté impreso, grabado o adherido a su recipiente inmediato y en el paquete o envoltorio exterior de los envases para uso o distribución.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Explotación minera,"En lo que respecta a la definición de explotación minera se acogerá lo dispuesto en la Ley 685 de 2001, o la que la modifique, sustituya o derogue.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.3.1.1.
Fabricación,Síntesis o producción de un ingrediente activo o plaguicida.,Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Fabricante,"Persona natural o jurídica, pública o privada, dedicada al negocio o a la función (directamente, por medio de un agente o de una entidad por ella controlada o contratada) de sintetizar un ingrediente activo o un plaguicida.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Flora silvestre,Es el conjunto de especies e individuos vegetales del territorio nacional que no se han plantado o mejorado por el hombre,Decreto 1076 de 2015,NA
Flujo de inmisión,Es la tasa de inmisión con referencia a la unidad de área de superficie de un receptor.,Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Formulación,Proceso de combinación de varios ingredientes para hacer que el producto sea útil y eficaz para la finalidad que se pretende.,Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Formulador,"Persona natural o jurídica, pública o privada, dedicada a la formulación de productos finales.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Fuente de emisión,"Es toda actividad, proceso u operación, realizado por los seres humanos, o con su intervención, susceptible de emitir contaminantes al aire.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Fuente fija,"Es la fuente de emisión situada en un lugar determinado e inamovible, aun cuando la descarga de contaminantes se produzca en forma dispersa.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Fuente fija dispersa o difusa,"Es aquella en que los focos de emisión de una fuente fija se dispersan en un área, por razón del desplazamiento de la acción causante de la emisión, como en el caso de las quemas abiertas controladas en zonas rurales.",NA,NA
Fuente fija puntual,Es la fuente fija que emite contaminantes al aire por ductos o chimeneas.,Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Fuente móvil,"Es la fuente de emisión que por razón de su uso o propósito, es susceptible de desplazarse, como los automotores o vehículos de transporte a motor de cualquier naturaleza.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Función,Atributo de la biodiversidad que hace referencia a la variedad de procesos e interacciones que ocurren entre sus componentes biológicos,Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Gastos de funcionamiento,"Son aquellos que tienen por objeto atender las necesidades de las entidades para cumplir a cabalidad con las funciones asignadas por la ley. Hacen parte de este los gastos de personal (servicios personales asociados a la nómina, servicios personales indirectos, contribuciones inherentes a la nómina del sector público y del sector privado); los gastos generales (adquisición de bienes, de servicios, impuestos y multas): y las transferencias corrientes.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.5.1.1
Gastos de inversión ambiental,"Son aquellas erogaciones susceptibles de causar beneficios ambientales, orientadas a obtener un resultado cuantificable y medible o que tengan cuerpo de bienes de utilización perdurable, llamados también de capital. Su asignación permite mantener o acrecentar la capacidad de oferta natural y mejorar la gestión ambiental. Estos gastos deben estar discriminados en la respectiva formulación de los proyectos inscritos y viabilizados en el Banco de Proyectos de Inversión Nacional.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.5.1.1
Gen,Nivel de la biodiversidad que hace referencia a segmentos de ADN en un cromosoma que codifica proteínas específicas y transmite las características hereditarias,Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Generación propia,"Energía eléctrica generada por la planta, a la que se le debe descontar el consumo propio de la planta. Se medirá en el secundario del transformador de la subestación asociada a la planta generadora.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.2.1.2.
Generador,"Persona natural o jurídica, pública o privada, cuya actividad genere plaguicidas en desuso, residuos, empaques y envases de los mismos. Si la persona es desconocida será la persona que esté en posesión de estos desechos. Así mismo, se equipara a un generador, el fabricante o importador de plaguicidas, en cuanto a la responsabilidad por el manejo de los embalajes y desechos o residuos peligrosos del plaguicida.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Género Hélix,"Grupo de caracoles terrestres pertenecientes a la Familia Helicidae, que agrupa más cuatro mil (4.000) especies, de las cuales aproximadamente veinte (20) se consideran comestibles y cuya distribución natural corresponde a Europa y el Norte de Africa",Decreto 1076 de 2015,ARTÍCULO 2.2.1.2.16.2.
Gestión del riesgo,"Es el proceso social de planeación, ejecución, seguimiento y evaluación de políticas y acciones permanentes para el conocimiento del riesgo y promoción de una mayor conciencia del mismo, impedir o evitar que se genere, reducirlo o controlarlo cuando ya existe y para prepararse y manejar las situaciones de desastre, así como para la posterior recuperación, entiéndase: rehabilitación y reconstrucción. Estas acciones tienen el propósito explícito de contribuir a la seguridad, el bienestar y calidad de vida de las personas y al desarrollo sostenible.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Gestión integral,"Conjunto articulado e interrelacionado de acciones de política, normativas, operativas, financieras, de planeación, administrativas, sociales, educativas, de evaluación, seguimiento y monitoreo desde la prevención de la generación hasta la disposición final de los residuos o desechos peligrosos, a fin de lograr beneficios ambientales, la optimización económica de su manejo y su aceptación social, respondiendo a las necesidades y circunstancias de cada localidad o región.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Gestión integral de residuos sólidos,"Es el conjunto de actividades encaminadas a reducir la generación de residuos, a realizar el aprovechamiento teniendo en cuenta sus características, volumen, procedencia, costos, tratamiento con fines de valorización energética, posibilidades de aprovechamiento y comercialización. También incluye el tratamiento y disposición final de los residuos no aprovechables",Decreto 2981 DE 2013,ARTICULO 2
Gestor o Receptor,"Persona natural o jurídica que presta los servicios de recolección, transporte, tratamiento, aprovechamiento o disposición final de residuos peligrosos dentro del marco de la gestión integral y cumpliendo con los requerimientos de la normatividad vigente.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Grupo asociativo,"Forma asociativa que se constituye conforme a la ley, cuyo objeto social esté relacionado con el sector forestal.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Grupo biológico,"Conjunto de organismos emparentados, que han sido agrupados de acuerdo con características comunes tales como: morfología, taxonomía, genotipo, etc.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.2.2.
Hábitat,Se entiende el lugar o tipo de ambiente en el que existe naturalmente un organismo o una población.,Ley 165 de 1994,ARTICULO 2
Hélix aspersa,"Especie de caracol terrestre, originario de Europa, introducida a todos los continentes de manera premeditada y con fines económicos. En Colombia se encuentran dos variedades de esta misma especie, como son el Hélix aspersa Muller (petit gris) y el Hélix aspersa máximo (gros gris).",Decreto 1076 de 2015,ARTÍCULO 2.2.1.2.16.2.
Hidrocarburos,"(Ciclopentano, Isobutano, Propano entre otros): Estos compuestos no agotan la capa de ozono y su potencial de calentamiento global es mínimo, pero algunos de ellos son inflamables por lo que su utilización está sujeta a la aplicación de medidas de seguridad y minimización de riesgos. Actualmente la importación de estas sustancias no requiere de licencia ambiental.",NA,NA
Holotipo,"Ejemplar único o parte del mismo, designado o fijado de la serie tipo como testigo del nombre de una especie o subespecie nominal al establecer el taxón nominal",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.1.3.
Huella Hídrica,"Es un concepto que permite determinar los impactos de un proceso antrópico sobre el agua, respecto a la cantidad o la calidad, para lo cual se definen tres componentes: las huellas hídricas verde, azul y gris.  Los dos primeros se relacionan con el impacto en la cantidad de agua y la huella hídrica gris se relaciona con el impacto sobre la calidad del agua. Se define como el agua que responde exclusivamente al requerimiento hídrico consuntivo del proceso productivo, por lo que es una parte del agua extraída y tras el proceso antrópico no retorna a la cuenca",NA,NA
Huella Hídrica Azul,"Volumen de agua extraído de ríos, lagos o acuíferos (agua azul) y que no es retornado a la fuente, por lo tanto, en el proceso antrópico fue incorporado, evaporado o trasvasado",NA,NA
Huella Hídrica Verde,"Sólo aplica para el sector agropecuario y se basa en el uso natural del agua de la humedad del suelo que proviene de la lluvia (agua verde), fenómeno natural asociado a la vegetación, entendiendo que la agricultura genera una apropiación indirecta de agua, asociada a un proceso antrópico",NA,NA
Humedales,"Según el Convenio Ramsar protección de humedales, en su artículo número 1 del protocolo ""define una zona húmeda o humedal como cualquier extensión de marisma, pantano o turbera, o superficie cubierta de aguas, sean estas de régimen natural o artificial, permanentes o temporales, estancadas o corrientes, dulces, salobres o saladas, incluidas las extensiones de aguas marinas cuya profundidad en marea baja no exceda de seis metros"" (Ramsar, 1971). De este modo, los humedales se clasifican en humedales marinos y costeros, humedales continentales y humedales artificiales. En Colombia, la extensión de humedales es de 2.589.839 Hectáreas, representadas en áreas de cobertura de cuerpos de agua naturales continentales, hidrófitas continentales, lagunas costeras y manglares.",NA,NA
Impacto ambiental,"Cualquier alteración en el medio ambiental biótico, abiótico y socioeconómico, que sea adverso o beneficioso, total o parcial, que pueda ser atribuido al desarrollo de un proyecto, obra o actividad",Decreto 1076 de 2015,ARTÍCULO 2.2.2.3.1.1.
Reúso del agua,Utilización de los efluentes líquidos previo cumplimiento del criterio de calidad.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Incautación,"Es la aprehensión material transitoria de bienes muebles, semovientes, flora y fauna silvestre que efectúa el personal uniformado de la Policía Nacional, cuya tenencia, venta, oferta, suministro, distribución, transporte, almacenamiento, importación, exportación, porte, conservación, elaboración o utilización, constituya comportamiento contrario a la convivencia y a la ley.",Ley 1801 de 2016,ARTICULO 164
Incendio forestal,"Cualquier fuego no justificado que afecta combustibles vegetales y se propaga rápidamente sin control y sin límites preestablecidos, ubicado en áreas de aptitud forestal o ambiental. Su tamaño es superior a 0.5 hectáreas.",NA,NA
Incineración,"Es el proceso de combustión de sustancias, residuos o desechos, en estado sólido, líquido o gaseoso.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Indice de escasez para aguas subterráneas,Es la relación entre la sumatoria de los caudales captados en el acuífero y los caudales explotables del mismo,Decreto 1076 de 2015,ARTÍCULO 2.2.9.6.1.2.
Indice de escasez para aguas superficiales,Relación entre la demanda de agua del conjunto de actividades sociales y económicas con la oferta hídrica disponible.,Decreto 1076 de 2015,ARTÍCULO 2.2.9.6.1.2.
Información mínima asociada a los especímenes que forman parte de la colección,"Es aquella información básica inherente a los especímenes, tal como la taxonómica al mejor nivel de detalle posible; localidad de colecta (incluyendo altitud y coordenadas geográficas); fecha de colecta y colector, entre otras.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.1.3.
Ingrediente activo,Sustancia química de acción plaguicida que constituye la parte biológicamente activa presente en una formulación.,Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Ingrediente activo grado técnico,"Es aquel que contiene los elementos químicos y sus compuestos naturales o manufacturados, incluidas las impurezas y compuestos relacionados que resultan inevitablemente del proceso de fabricación.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Ingresos del Fondo de Compensación Ambiental,Serán ingresos del Fondo de Compensación Ambiental los montos transferidos por las Corporaciones Autónomas Regionales correspondientes al 20% de los recursos percibidos por concepto de transferencias del sector eléctrico y el 10% de las restantes rentas propias con excepción del porcentaje ambiental de los gravámenes a la propiedad inmueble y de aquellos que tengan como origen relaciones contractuales interadministrativas.,Decreto 1076 de 2015,ARTÍCULO 2.2.9.5.1.1
Inmisión,Transferencia de contaminantes de la atmósfera a un receptor. Se entiende por inmisión la acción opuesta a la emisión. Aire inmisibles es el aire respirable al nivel de la troposfera.,Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Interesado,"Persona natural o jurídica, pública o privada, que presenta solicitud ante la autoridad ambiental competente a fin de obtener el derecho al manejo sostenible de la flora silvestre y de los productos forestales no maderables.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Inversión total del proyecto,Corresponde a la totalidad del capital invertido (activos fijos y costos en que se incurra para el desarrollo del proyecto licenciado) por el titular del proyecto en las etapas previas a la producción,Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Lago,"Es un cuerpo de agua natural, dulce o salada de tipo continental de gran tamaño y profundidad, ubicado en depresiones del terreno de formas variadas, que se alimenta de un río o de aguas freáticas.",NA,NA
Laguna,"Es una depresión de la zona costera, ubicada por debajo del promedio mayor de las mareas más altas, que tiene una comunicación permanente o efímera pero protegida de las fuerzas del mar por algún tipo de barrera, la cual puede ser arenosa o formada por islas de origen marino que, en general, son paralelas a la línea de costa. Son cuerpos de aguas someras y de salinidad variable.",Decreto 1076 de 2015,ARTÍCULO 2.2.4.1.1.2.
Licencia Ambiental,"Autorización que otorga la autoridad ambiental competente, mediante acto administrativo, a una persona o empresa, para la ejecución de un proyecto, obra o actividad que conforme a la ley y asimismo a los reglamentos puede producir deterioro grave a los recursos naturales renovables o al medio ambiente, o introducir modificaciones considerables o notorias al paisaje. Establece los requisitos, obligaciones y condiciones que el beneficiario de la licencia ambiental debe cumplir para prevenir, mitigar, corregir, compensar y manejar los efectos ambientales del proyecto, obra o actividad autorizada. La licencia ambiental llevará implícitos todos los permisos, autorizaciones y/o concesiones para el uso, aprovechamiento y/o afectación de los recursos naturales renovables, que sean necesarios por el tiempo de vida útil del proyecto, obra o actividad.",NA,NA
Límite de cuenca,"Una cuenca hidrográfica se delimita por la línea de divorcio de las aguas. Se entiende por línea de divorcio la cota o altura máxima superficial, que divide dos cuencas contiguas",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Límites permisibles de vertimiento,"Es el contenido permitido de una sustancia, elemento o parámetro contaminante, en forma individual, mezclado o en combinación, o sus productos de metabolismo establecidos en los permisos de vertimiento y/o en los Planes de Saneamiento y Manejo de Vertimientos - PSMV.",Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Línea de mareas máximas,Corresponde a la elevación máxima a la que llega la influencia del mar en los cuerpos de agua debido a la marea alta o pleamar y la marea viva o sicigial,Decreto 1076 de 2015,ARTÍCULO 2.2.3.2.3A.2.
Lixiviado,Es el líquido residual generado por la descomposición biológica de la parte orgánica o biodegradable de los residuos sólidos bajo condiciones aeróbicas o anaeróbicas y/o como resultado de la percolación de agua a través de los residuos en proceso de degradación,Decreto 2981 DE 2013,ARTICULO 2
Lodo,"Suspensión de un sólido en un líquido proveniente de tratamiento de aguas, residuos líquidos u otros similares.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Manantial,"Descarga de agua subterránea al exterior, concentrada en un punto o a lo largo de una línea",NA,NA
Manejo,"Se entiende la recolección, transporte, y eliminación de los desechos residuos peligrosos de plaguicidas y los plaguicidas en desuso, incluido el monitoreo de los lugares de disposición final.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Manejo ambientalmente racional,"Por manejo ambientalmente racional de los plaguicidas y desechos peligrosos provenientes de los mismos, se entiende la adopción de todas las medidas posibles para garantizar que los plaguicidas desechos peligrosos se manejen de manera que queden protegidos el ambiente y la salud contra los efectos nocivos que puedan derivarse de los mismos. Lo anterior independientemente de la obligación de obtener las licencias, permisos y autorizaciones a que haya lugar, de conformidad con la normatividad vigente.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Manejo Integrado de las Zonas Costeras (MIZC),Proceso dinámico y participativo mediante el cual se diseñan estrategias y se adoptan decisiones para el uso sostenible y la conservación de la zona costera y sus recursos.,Decreto 1076 de 2015,ARTÍCULO 2.2.4.1.1.2.
Manejo integral.,"Es la adopción de todas las medidas necesarias en las actividades de prevención, reducción y separación en la fuente, acopio, almacenamiento, transporte, aprovechamiento y/o valorización, tratamiento y/o disposición final, importación y exportación de residuos o desechos peligrosos, individualmente realizadas o combinadas de manera apropiada, para proteger la salud humana y el ambiente contra los efectos nocivos temporales y/o permanentes que puedan derivarse de tales residuos o desechos.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Manejo sostenible,"Planificación y ejecución de prácticas sostenibles para el manejo, uso y aprovechamiento de la flora silvestre y de los productos forestales no maderables, que, salvaguardando el equilibrio de los ecosistemas y sus funciones, permitan mejorar la producción de bienes y servicios, apoyado en la evaluación de su estructura, características intrínsecas y potencial y, respetando los usos tradicionales y el valor cultural.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Medidas de compensación,"Son las acciones dirigidas a resarcir y retribuir a las comunidades, las regiones, localidades y al entorno natural por los impactos o efectos negativos generados por un proyecto, obra o actividad, que no puedan ser evitados, corregidos o mitigados",Decreto 1076 de 2015,ARTÍCULO 2.2.2.3.1.1.
Medidas de corrección,"Son las acciones dirigidas a recuperar, restaurar o reparar las condiciones del medio ambiente afectado por el proyecto, obra o actividad.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.3.1.1.
Medidas de mitigación,"Son las acciones dirigidas a minimizar los impactos y efectos negativos de un proyecto, obra o actividad sobre el medio ambiente.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.3.1.1.
Medidas de prevención,"Son las acciones encaminadas a evitar los impactos y efectos negativos que pueda generar un proyecto, obra o actividad sobre el medio ambiente.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.3.1.1.
Metodologías establecidas,"Hace referencia a los métodos o procedimientos que el usuario debe utilizar para llevar a cabo la adecuada recolección y preservación. Dichas metodologías deberán atender a estándares de calidad, con técnicas válidas para la obtención de la información en las áreas objeto de estudio; estas deben ser referenciadas y aprobadas a nivel nacional y/o internacional.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.2.2.
Muestra compuesta,"Es la mezcla de varias muestras puntuales de una misma fuente, tomadas a intervalos programados y por periodos determinados, las cuales pueden tener volúmenes Iguales o ser proporcionales al caudal durante el periodo de muestras.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Muestra de Ecosistema Natural,"Se entiende por muestra de ecosistema natural, la unidad funcional compuesta de elementos bióticos y abióticos que ha evolucionado naturalmente y mantiene la estructura, composición dinámica y funciones ecológicas características al mismo.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.17.1.
Muestra integrada,"La muestra integrada es aquella que se forma por la mezcla de muestras puntuales tomadas de diferentes puntos simultáneamente, o lo más cerca posible. Un ejemplo de este tipo de muestra ocurre en un río o corriente que varía en composición de acuerdo con el ancho y la profundidad.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Muestra puntual,Es la muestra individual representativa en un determinado momento.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Municipio donde está situada una planta termoeléctrica,"Municipio o municipios donde se encuentra construida la planta de generación, incluyendo patio de disposición de cenizas, áreas de almacenamiento de combustible y áreas de operación de equipos asociados.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.2.1.2.
Municipio o distrito con territorio localizado en un embalse,"Municipio o distrito en cuyo territorio se encuentra un embalse que tenga entre otras, finalidad hidroeléctrica, bien sea en el cauce principal de la cuenca o en el cauce de una o varias desviaciones.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.2.1.2.
Municipio o distrito con territorio localizado en una cuenca,Municipio o distrito que tiene la totalidad o parte de su territorio dentro de una cuenca hidrográfica.,Decreto 1076 de 2015,ARTÍCULO 2.2.9.2.1.2.
nformación asociada a los especímenes recolectado,"Es aquella información básica inherente a los especímenes, tal como la taxonómica al mejor nivel de detalle posible; localidad de colecta (incluyendo altitud y coordenadas geográficas); fecha de colecta y colector, entre otras.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.8.1.3.
Nivel de alerta (Nivel III),"Es aquél que se presenta cuando la concentración de contaminantes en el aire y su duración o tiempo de exposición, puede causar alteraciones manifiestas en el medio ambiente o la salud humana y en especial alteraciones de algunas funciones fisiológicas vitales, enfermedades crónicas en organismos vivos y reducción de la expectativa de vida de la población expuesta.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Nivel de emergencia (Nivel IV),"Es aquél que se presenta cuando la concentración de contaminantes en el aire y su tiempo de exposición o duración, puede causar enfermedades agudas o graves u ocasionar la muerte de organismos vivos, y en especial de los seres humanos.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Nivel de prevención (Nivel II),"Es aquél que se presenta cuando las concentraciones de contaminantes en el aire y su tiempo de exposición o duración, causan efectos adversos y manifiestos, aunque leves, en la salud humana o en el medio ambiente tales como irritación de las mucosas, alergias, enfermedades leves de las vías respiratorias, o efectos dañinos en las plantas, disminución de la visibilidad u otros efectos nocivos evidentes.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Nivel Normal (Nivel I),"Es aquél en que la concentración de contaminantes en el aire y su tiempo de exposición o duración son tales, que no se producen efectos nocivos, directos ni indirectos, en el medio ambiente, o la salud humana.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Nivel subsiguiente de la subzona hidrográfica,Corresponde a aquellas cuencas con áreas de drenaje mayores a 500 km2 dentro de una subzona hidrográfica y que sean afluentes directos del río principal.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Norma de calidad del aire o nivel de inmisión,"Es el nivel de concentración legalmente permisible de sustancias o fenómenos contaminantes presentes en el aire, establecido por el Ministerio de Ambiente y Desarrollo Sostenible, con el fin de preservar la buena calidad del medio ambiente, los recursos naturales renovables y la salud humana.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Norma de emisión,"Es el valor de descarga permisible de sustancias contaminantes, establecido por la autoridad ambiental competente, con el objeto de cumplir la norma de calidad del aire.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Norma de emisión de ruido,"Es el valor máximo permisible de presión sonora, definido para una fuente, por la autoridad ambiental competente, con el objeto de cumplir la norma de ruido ambiental.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Norma de ruido ambienta,"Es el valor establecido por la autoridad ambiental competente, para mantener un nivel permisible de presión sonora, según las condiciones y características de uso del sector, de manera tal que proteja la salud y el bienestar de la población expuesta, dentro de un margen de seguridad.",Decreto 948 de 1995,ARTICULO 2
Norma de ruido ambiental,"Es el valor establecido por la autoridad ambiental competente, para mantener un nivel permisible de presión sonora, según las condiciones y características de uso del sector, de manera tal que proteja la salud y el bienestar de la población expuesta, dentro de un margen de seguridad.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Norma de vertimiento,Conjunto de parámetros y valores que debe cumplir el vertimiento en el momento de la descarga.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Objetivo de calidad,"Conjunto de criterios de calidad definidos para alcanzar los usos del agua asignados en un horizonte de tiempo determinado, en un sector o tramo específico de un cuerpo de agua.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Objetivos de calidad,"Es el conjunto de variables, parámetros o elementos con su valor numérico, que se utiliza para definir la idoneidad del recurso hídrico para un determinado uso.",Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Olor ofensivo,"Es el olor, generado por sustancias o actividades industriales, comerciales o de servicio, que produce fastidio, aunque no cause daño a la salud humana.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
País de origen,País donde se realiza la fabricación del ingrediente activo o la formulación de un plaguicida.,Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Paisaje,Nivel de la biodiversidad que expresa la interacción de los factores formadores (biofísicos y antropogénicos) de un territorio,Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Pantano,"Se define como un surgimiento natural el cual presenta por sí mismo acumulaciones de agua sobre las superficies de tierras bajas inundadas, normalmente fangosas",NA,NA
Parámetro,"Variable que, en una familia de elementos, sirve para identificar cada uno de ellos mediante su valor numérico.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Páramo,"Ecosistema de alta montaña, ubicado entre el límite superior del Bosque Andino y, si se da el caso, el límite inferior de los glaciares, en el cual dominan asociaciones vegetales tales como pajonales, frailejones, matorrales, prados y chuscales, además puede haber formaciones de bosques bajos y arbustos y presentar humedales como los ríos, quebradas, arroyos, turberas, pantanos, lagos y lagunas, entre otros.",Ley 1930 de 2018,ARTICULO 3
Pasivo Ambiental,"Obligación legal, presente, de una empresa o persona natural de hacer un gasto futuro, debido a la ejecución de una actividad, uso, vertimiento o desecho de una sustancia en particular que afecta, daña o agota de manera peligrosa los recursos naturales y/o el ambiente.",NA,NA
Perfil de los profesionales,"Conjunto de rasgos profesionales que caracterizan a las personas que llevarán a cabo las actividades reguladas en el presente decreto, que cuenten con un conocimiento de los diferentes grupos biológicos a caracterizar y de sus correspondientes metodologías.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.2.2.
Permiso de estudios con fines de elaboración de Estudios Ambientales,"Es la autorización previa que otorga la autoridad ambiental competente para la recolección de especímenes de especies silvestres de la diversidad biológica con fines de elaboración de estudios ambientales necesarios para solicitar y/o modificar licencias ambientales o su equivalente, permisos, concesiones o autorizaciones.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.2.2.
